id,type,sign_name,question,option_a,option_b,option_c,option_d,answer,explanation,handbook_ref,image_ref
1,general,NA,什么情况下携带驾驶证？I.引擎运转时坐在驾驶座位上 II.汽车被其他车辆推动或牵引时驾驶该车,只I,只II,I. II 均可,I. II 皆非,C,引擎运转或被牵引时驾驶都需要携带驾驶证,chapter_1,NA
2,general,NA,法官断言一驾驶者拒绝依法进行化学或呼吸分析器测试DMV将要...,把驾驶者置于监视之下,采取措施之前等待法庭的决定,要求驾驶者到驾驶训练所学习,撤销驾驶执照至少12个月,D,拒绝测试将导致至少12个月的执照撤销,chapter_2,NA
3,general,NA,以下哪一项正好适合记点制度？I.驾驶者在三年内记4点将得到警告信 II.驾驶者在三年内记12点将失去驾照,只I,只II,I. II 均可,I. II 皆非,B,三年内记12点将失去驾照,chapter_2,NA
4,general,NA,当驾驶者总共计分7点可能会发生什么？I.要求驾驶者提供经济担保证明 II.驾驶者完成驾驶训练所学习可减3个点,只I,只II,I. II 均可,I. II 皆非,B,完成驾驶训练可以减少3个点,chapter_2,NA
5,general,NA,以下哪一项罚点数最高？,鲁莽开车,撞坏他人车后逃跑,没有驾驶执照开车,超过一辆小孩正在下车的校车,D,超过正在下车的校车记5分罚点数最高,chapter_3,NA
6,general,NA,驾驶者在哪种情况下将失去驾照？,没有驾驶执照时开车,超过一辆停着的校车,没有让给有先行权的车辆,在时速55英里的地带超过70英里,D,严重超速将导致失去驾照,chapter_3,NA
7,general,NA,取回撤销的驾驶执照必须做到...I.得到当地驾驶部门重新申请执照的许可 II.去驾驶部门支付恢复费重新申请执照,只I,只II,I. II 均可,I. II 皆非,C,两项都需要完成才能取回执照,chapter_2,NA
8,general,NA,大约一半的车祸发生于...I.饮酒过度者 II.与一台以上车辆有关,只I,只II,I. II 均可,I. II 皆非,A,约一半车祸涉及饮酒过度,chapter_4,NA
9,general,NA,饮酒过度导致意外死亡的比率是...,10%,50%,38%,67%,C,饮酒过度导致38%的意外死亡,chapter_4,NA
10,general,NA,以下哪一个关于行人死亡的陈述是正确的？I.在城市死于车祸的5人中有2人是行人 II.死于车祸的行人当中多数人是青少年,只I,只II,I. II 均可,I. II 皆非,A,城市车祸死亡中40%是行人,chapter_5,NA
11,general,NA,晚上在没有人行道的路上行走应怎样做？I.穿或拿白色东西在与车辆相反方向一边行走 II.走在与车流同方向的一边,只I,只II,I. II 均可,I. II 皆非,A,应该在相反方向行走并穿白色衣物,chapter_5,NA
12,general,NA,在交叉路上没有交通灯谁有优先行使权？,行人优先,驾驶者优先,谁也没有优先权,先到交叉路者优先,A,行人优先,chapter_6,140 images/q12_image.jpeg
13,general,NA,北卡法律规定车辆多长时间必须验车一次？,6个月,12个月,18个月,24个月,B,车辆每12个月必须验车一次,chapter_1,NA
14,general,NA,安全驾驶者应该做到...,为了避免离开路线观察路边,经常观察后视镜和侧视镜,为了保持清醒晚上开车时喝咖啡,在高速路上行车时与前车保持两台车的距离,B,安全驾驶需要经常观察后视镜和侧视镜,chapter_7,NA
15,general,NA,驶进交叉路口右转时应打开右转向灯并...I.稍微向路中心移动以便留点空间向右转 II.把手伸向车外,只I,只II,I. II 均可,I. II 皆非,D,右转时只需打开右转向灯即可ab皆非,chapter_7,NA
16,general,NA,当驾车长途旅行感到困倦时应当...,停车休息,加速,打开车窗或通气孔放进一些新鲜空气,喝咖啡,A,困倦时必须停车休息,chapter_7,NA
17,general,NA,驾车长途旅行应该...,时常揉一揉眼睛消除疲劳,避免看一种东西超过几秒钟以上,目视前方道路中心,看前方一样注视车镜,B,避免看一种东西超过几秒钟,chapter_7,NA
18,general,NA,为了避免其他车撞在后面应该...I.小心开车并经常刹车 II.经常观察后视镜,只I,只II,I. II 均可,I. II 皆非,B,经常观察后视镜,chapter_7,NA
19,general,NA,研究结果表明非常危险的是...I.中年驾驶者 II.开车慢的驾驶者,只I,只II,I. II 均可,I. II 皆非,B,开车太慢也是非常危险的行为,chapter_7,NA
20,general,NA,开车太慢在以下情况下特别危险？I.刚刚过山顶 II.刚刚过转弯处,只I,只II,I. II 均可,I. II 皆非,C,刚过山顶或转弯处开车太慢特别危险,chapter_8,NA
21,general,NA,以下哪种在北卡开阔路面上的限速是正确的？I.除非有交通标志说明汽车货车限速是65英里 II.学校课外活动车的限速是55英里,只I,只II,I. II 均可,I. II 皆非,B,学校课外活动车限速55英里,chapter_8,NA
22,general,NA,以下哪一项关于在北卡汽车的限速是正确的？I.在市外的限速是55英里除非有特殊交通标志说明 II.在市区的限速是25英里除非有特殊的交通标志说明,只I,只II,I. II 均可,I. II 皆非,A,市外限速55英里除非另有标志,chapter_8,NA
23,general,NA,在北卡正确的限速是哪项？I.除非有交通标志说明在市区的限速是35英里 II.除非有交通标志说明校外活动车的限速是25英里,只I,只II,I. II 均可,I. II 皆非,A,市区限速35英里除非另有标志,chapter_8,NA
24,general,NA,在转弯处汽车倾向于...,加速,移向弯道的里圈,保持在道路中心,移向弯道的外圈,D,汽车在转弯处倾向于移向弯道的外圈,chapter_9,NA
25,general,NA,图中的车在转弯处倾向于走哪条路？,A方向,B方向,C方向,D方向,C,转弯时应走C方向,chapter_9,140 images/q25_image.jpeg
26,general,NA,急转弯时应注意哪些？I.尽可能靠近左线 II.在急转弯处使用刹车,只I,只II,I. II 均可,I. II 皆非,D,急转弯时应小心谨慎ab皆非,chapter_9,NA
27,general,NA,哪种情况你的驾照马上被执法部门吊销30天？I.拒绝依法进行化学或者呼吸分析器测验 II.测验结果血液中酒精含量0.08%或以上,只I,只II,I. II 均可,I. II 皆非,C,两种情况都会被吊销30天,chapter_2,NA
28,general,NA,下陡坡时除了减速还应该做什么？I.使用低档 II.弯弯曲曲的行驶,只I,只II,I. II 均可,I. II 皆非,A,下陡坡时应使用低档,chapter_9,NA
29,general,NA,图中表明哪辆车的转弯正确？,1号车,2号车,3号车,4号车,C,3号车转弯正确从最近的弯道转弯,chapter_9,140 images/q29_image.jpeg
30,general,NA,如果在双线路上超车应该采取...I.按汽车喇叭引起前车驾驶者的注意 II.开左转向灯让后车驾驶者知道超越意图,只I,只II,I. II 均可,I. II 皆非,C,按喇叭并开左转向灯,chapter_10,NA
31,general,NA,图中哪辆车可以超车？,只1号车,只2号车,1、2号车均可,1、2号车皆非,C,多车道上安全时可超越任何旁道上的车,chapter_10,140 images/q31_image.jpeg
32,general,NA,图中哪辆车可以安全超车？,A车,B车,C车,D车,D,不能超越前方已进入禁止超车路段的车,chapter_10,140 images/q32_image.jpeg
33,general,NA,图中哪辆车可以安全超过货车？,只1号车,只2号车,1、2号车均可,1、2号车皆非,D,不能超越前方已进入禁止超车路段的车,chapter_10,140 images/q33_image.jpeg
34,general,NA,在什么条件下从右边超车合法？I.两个方向各有两线 II.单行道,只I,只II,I. II 均可,I. II 皆非,C,两个方向各有两线或单行道时可从右边超车,chapter_10,NA
35,general,NA,倒车时应注意什么？I.把时速控制在10英里以下转过头眼睛看后面 II.双手握紧方向盘,只I,只II,I. II 均可,I. II 皆非,A,倒车时速控制在10英里以下转过头看后面,chapter_11,NA
36,general,NA,车流多的地方A车驾驶者看到了B车正要离开停车位A车驾驶者应采取什么行动？,加速超越正在倒退的车,稍微移动一点转向左线道便于让路,减速准备停车,按着喇叭继续行驶,C,减速准备停车,chapter_11,NA
37,general,NA,你应在何时调节后视镜和侧视镜？,在上车前,在车内开车前,在车辆向后行驶时,在车辆向前行驶时,B,在车内开车前调节后视镜及侧视镜,chapter_11,NA
38,general,NA,图中哪辆车应该让？,A车,B车,C车,D车,D,转弯的D车要让其他车先走,chapter_12,140 images/q38_image.jpeg
39,general,NA,车祸发生最频繁的地方是在...,山坡上,弯道上,交叉路上,桥上,C,车祸发生最频繁的地方是在交叉路上,chapter_12,NA
40,general,NA,交叉路没有交通灯或标志图中按照哪个顺序通过？,A车B车C车,B车A车C车,C车A车B车,B车C车A车,A,交叉路口无交通信号灯应按让右侧车先行的顺序轮流过车ABC,chapter_12,140 images/q40_image.jpeg
41,general,NA,如图中所示先行权属于...,只有1号车驾驶者,只有2号车驾驶者,只属于行人,只属于1号和行人,D,交叉路口无交通信号灯先行权属于1号车和行人,chapter_12,140 images/q41_image.jpeg
42,general,NA,交叉路上无交通灯或标志则先行权属于,只有A车,先A车后B车,先B车后A车,B车,D,先行权属于B车,chapter_12,140 images/q42_image.jpeg
43,general,NA,从市区大街上驾驶时应注意...I.从侧面街道驶入的汽车 II.从停车的车中突然冒出的动物和小孩,只I,只II,I. II 均可,I. II 皆非,C,应注意从侧面街道驶入的车及从停车中冒出的动物和小孩,chapter_13,NA
44,general,NA,接近没有交通标志的交叉路口视线被树或建筑物挡住而看不清四方时应该...,以交通标志所规定的时速行驶,在交叉路口中心附近停车安全时继续行驶,减速并按喇叭以警告看不见的驾驶者,在交叉路口外停车然后慢慢向前移动,D,在交叉路口外停车然后慢慢向前移动,chapter_13,NA
45,general,NA,行驶在交通繁忙路段应该注意什么？I.注意突然停车的驾驶者 II.只有在行人穿越道上让给行人,只I,只II,I. II 均可,I. II 皆非,A,注意突然停车的驾驶者,chapter_13,NA
46,general,NA,在一交叉路上想左转但走错车道应该...,继续往前等下一个交叉路口才转弯,先倒退然后开进正确的车道才转弯,等所有的车通过了交叉路才转弯,警示旁边的驾驶者示意在那车前面转弯,A,继续向前等下一个交叉路口再转弯,chapter_13,NA
47,general,NA,在高速道路上最常见的车祸类型是...,车身碰撞,驾出路外,首尾碰撞,正面碰撞,C,首尾碰撞,chapter_14,NA
48,general,NA,在高速道路上长途旅行应准备做什么？I.每100英里在休息站休息 II.计划部分时间在晚上开车以避免车流,只I,只II,I. II 均可,I. II 皆非,A,每100英里在休息站休息,chapter_14,NA
49,general,NA,在高速路上车发生故障被迫停在路旁应该...,坐在车内耐心等救兵,手巾绑在车左门把手然后站在左挡板前,支起车盖白手巾绑在车左门把手,支起车盖并站在车后以便被正面而来的车辆看见,C,支起车盖白手巾绑在车左门把手,chapter_14,NA
50,general,NA,研究结果表明高速公路上行驶正常情况下汽车卷入车祸的机会也会很多如果驾驶者...,保持平稳速度,行驶在比交通标志限速相当低的速度,行驶在跟交通标志限速一致的速度,与同一条车线的前后车保持一定的距离,B,比交通标志限速相当低的速度行驶车祸机会很多,chapter_14,NA
51,general,NA,在高速公路上错过了出口应该怎么做？I.U转弯 II.继续行驶到下一个出口,只I,只II,I. II 均可,I. II 皆非,B,继续行驶到下一出口,chapter_14,NA
